filenw,ident,region,regiog,subre,contr,countryname,birth_y,age_sex,age_union,agechild1,agechild2,agechild3,agechild4,agechild5,urban,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,aw,sex,union,child,child20,child30,birth_5y
ALIR50FL.DTA,ALIR50FL.DTA_000000001001003,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1972,20,22,23,27,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1970
ALIR50FL.DTA,ALIR50FL.DTA_000000001002002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1968,18,17,20,23,28,NA,NA,0,0,0,0,0,0,0,0,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,1,1,1965
ALIR50FL.DTA,ALIR50FL.DTA_000000001004002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1963,22,23,24,27,30,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,1,1,1,0,0,1,1960
ALIR50FL.DTA,ALIR50FL.DTA_000000001006002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1964,24,23,24,28,30,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,1,1,1,0,0,1,1960
ALIR50FL.DTA,ALIR50FL.DTA_000000001009001,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1968,19,19,27,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1965
ALIR50FL.DTA,ALIR50FL.DTA_000000001012003,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1967,21,20,21,21,26,28,32,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1965
ALIR50FL.DTA,ALIR50FL.DTA_000000001014003,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1977,17,16,18,21,26,NA,NA,0,0,0,0,0,0,0,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,1,1,1975
ALIR50FL.DTA,ALIR50FL.DTA_000000001015003,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1976,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,1975
ALIR50FL.DTA,ALIR50FL.DTA_000000001016001,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1970,22,22,23,24,34,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1970
ALIR50FL.DTA,ALIR50FL.DTA_000000001018004,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1976,26,25,26,30,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1975
ALIR50FL.DTA,ALIR50FL.DTA_000000001019002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1970,19,19,20,24,27,NA,NA,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,1,1,1970
ALIR50FL.DTA,ALIR50FL.DTA_000000002001001,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1959,18,18,19,23,28,NA,NA,0,0,0,0,0,0,0,0,0,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,0,1,1,1955
ALIR50FL.DTA,ALIR50FL.DTA_000000002002002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1961,19,20,22,27,28,NA,NA,0,0,0,0,0,0,0,0,0,0,1,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,1,1,1,0,0,1,1960
ALIR50FL.DTA,ALIR50FL.DTA_000000002003004,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1974,18,18,19,23,31,NA,NA,0,0,0,0,0,0,0,0,0,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,1,1,1970
ALIR50FL.DTA,ALIR50FL.DTA_000000002010002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1964,20,20,21,24,28,NA,NA,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,1,1,1,0,0,1,1960
ALIR50FL.DTA,ALIR50FL.DTA_000000002011002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1964,20,20,22,24,26,29,NA,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,1,1,1,0,0,1,1960
ALIR50FL.DTA,ALIR50FL.DTA_000000002012002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1966,19,19,20,27,32,NA,NA,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,1,1,1965
ALIR50FL.DTA,ALIR50FL.DTA_000000002014001,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1962,25,25,26,30,34,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,1,1,1,0,0,1,1960
ALIR50FL.DTA,ALIR50FL.DTA_000000002016002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1969,23,23,24,25,32,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1965
ALIR50FL.DTA,ALIR50FL.DTA_000000002017002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1961,18,19,20,29,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,1,1,1,0,1,1,1960
ALIR50FL.DTA,ALIR50FL.DTA_000000002018001,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1965,20,24,21,22,25,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1965
ALIR50FL.DTA,ALIR50FL.DTA_000000002019002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1978,22,22,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,1975
ALIR50FL.DTA,ALIR50FL.DTA_000000002020002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1965,23,23,24,28,32,37,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1965
ALIR50FL.DTA,ALIR50FL.DTA_000000003003001,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1961,19,22,24,27,31,31,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,1,1,1,0,0,1,1960
ALIR50FL.DTA,ALIR50FL.DTA_000000003007001,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1959,20,20,22,26,28,NA,NA,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,0,0,1,1955
ALIR50FL.DTA,ALIR50FL.DTA_000000003009002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1966,22,24,25,28,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1965
ALIR50FL.DTA,ALIR50FL.DTA_000000003015002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1960,21,23,24,28,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,1,1,1,0,0,1,1960
ALIR50FL.DTA,ALIR50FL.DTA_000000003016002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1959,22,21,22,27,28,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,0,0,1,1955
ALIR50FL.DTA,ALIR50FL.DTA_000000003019004,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1974,19,20,22,24,32,NA,NA,0,0,0,0,0,0,0,0,0,0,1,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1970
ALIR50FL.DTA,ALIR50FL.DTA_000000004003002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1970,21,20,22,24,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1970
ALIR50FL.DTA,ALIR50FL.DTA_000000004005003,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1959,24,25,26,31,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,0,0,1,1955
